"subject","exemplarOf","spatial","owns","holdingAgent","identifiers"
"https://collection.rcgs.jp/resource/ITEM0010090","https://collection.rcgs.jp/resource/PACKAGE0002085","C141","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0015025|S13238"
"https://collection.rcgs.jp/resource/ITEM0003188","https://collection.rcgs.jp/resource/PACKAGE0004284","C42","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003193|S6749"
"https://collection.rcgs.jp/resource/ITEM0003900","https://collection.rcgs.jp/resource/PACKAGE0005468","D7","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003906|S7452"
"https://collection.rcgs.jp/resource/ITEM0009197","https://collection.rcgs.jp/resource/PACKAGE0009443","A119","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013743|S12449"
"https://collection.rcgs.jp/resource/ITEM0009199","https://collection.rcgs.jp/resource/PACKAGE0009445","A119","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013736|S12451"
"https://collection.rcgs.jp/resource/ITEM0006701","https://collection.rcgs.jp/resource/PACKAGE0004250","C119","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010861|S9898"
"https://collection.rcgs.jp/resource/ITEM0009479","https://collection.rcgs.jp/resource/PACKAGE0009720","A122","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014517|S12707"
"https://collection.rcgs.jp/resource/ITEM0006669","https://collection.rcgs.jp/resource/PACKAGE0007789","A99","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010826|S9998"
"https://collection.rcgs.jp/resource/ITEM0007038","https://collection.rcgs.jp/resource/PACKAGE0008333","C115","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0011206|S10117"
"https://collection.rcgs.jp/resource/ITEM0008247","https://collection.rcgs.jp/resource/PACKAGE0008750","D72","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0012946|S11871"
"https://collection.rcgs.jp/resource/ITEM0001215","https://collection.rcgs.jp/resource/PACKAGE0001109","D100","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001214|S4823"
"https://collection.rcgs.jp/resource/ITEM0006018","https://collection.rcgs.jp/resource/PACKAGE0004456","C104","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010020|S9347"
"https://collection.rcgs.jp/resource/ITEM0000743","https://collection.rcgs.jp/resource/PACKAGE0006313","A41","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0000744|S4356"
"https://collection.rcgs.jp/resource/ITEM0000348","https://collection.rcgs.jp/resource/PACKAGE0000763","C87","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0000349|S3963"
"https://collection.rcgs.jp/resource/ITEM0007647","https://collection.rcgs.jp/resource/PACKAGE0005293","D52","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0012271|S10932"
"https://collection.rcgs.jp/resource/ITEM0002887","https://collection.rcgs.jp/resource/PACKAGE0003247","C28","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0002892|S6451"
"https://collection.rcgs.jp/resource/ITEM0020902","https://collection.rcgs.jp/resource/PACKAGE0023613","D87","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022282"
"https://collection.rcgs.jp/resource/ITEM0020904","https://collection.rcgs.jp/resource/PACKAGE0023615","D87","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022304"
