通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
338,rcgs_relatedinstance_sparql_2310.csv,relation,-,リソースに関連するリソース,,9,ゲーム関連資料,関連する作品,該当するリソースのIDに変換（メモより同定可能）,,,,,
339,rcgs_relatedinstance_sparql_2310.csv,references,-,リソースが参照するリソース,,9,ゲーム関連資料,関連する作品,該当するリソースのIDに変換（メモより同定可能）,,,,,
340,rcgs_relatedinstance_sparql_2310.csv,isReferencedBy,-,リソースが参照されるリソース,,9,ゲーム関連資料,関連する作品,該当するリソースのIDに変換（メモより同定可能）,,,,,
341,rcgs_relatedinstance_sparql_2310.csv,language,-,リソースの内容で用いられる言語,http://id.loc.gov/vocabulary/iso639-2/jpn,9,ゲーム関連資料,言語,,,,,,
342,rcgs_relatedinstance_sparql_2310.csv,about,-,リソースのトピック,,9,ゲーム関連資料,キーワード・タグ,,,,,,
343,rcgs_relatedinstance_sparql_2310.csv,subjectOf,-,リソースを主題とするリソース,,9,ゲーム関連資料,,,,,,,
344,rcgs_relatedinstance_sparql_2310.csv,tableOfContents,-,リソースを構成するサブユニットのリスト,,9,ゲーム関連資料,サブユニットリスト,,,,,,
345,rcgs_relatedinstance_sparql_2310.csv,brand,-,リソースの責任に関連するブランド,,9,ゲーム関連資料,概要,"値があるときは冒頭に""ブランド:△""を追加する",,,,,
346,rcgs_relatedinstance_sparql_2310.csv,PA_type,-,リソースの供給形式の種別,https://collection.rcgs.jp/terms/ProvisionActivity|https://collection.rcgs.jp/terms/Publication,9,ゲーム関連資料,概要,,,,,,
347,rcgs_relatedinstance_sparql_2310.csv,PA_publisherStatement,-,リソースの公開者名,アミューズメント・ジャーナル,9,ゲーム関連資料,発行者名,,,,,,
348,rcgs_relatedinstance_sparql_2310.csv,PA_date,-,リソースの公開日,2018-02-28,9,ゲーム関連資料,公開年月日,,,,,,
349,rcgs_relatedinstance_sparql_2310.csv,PA_spatial,-,リソースの地理的範囲,東京都豊島区,9,ゲーム関連資料,出版地,,,,,,
350,rcgs_relatedinstance_sparql_2310.csv,PA_source,-,リソースの供給に関する情報源,,9,ゲーム関連資料,データ出典,,,,,,
351,rcgs_relatedinstance_sparql_2310.csv,PA_note,-,リソースの供給の注記,,9,ゲーム関連資料,概要,"値があるときは冒頭に""供給形式注記:△""を追加する",,,,,
352,rcgs_relatedinstance_sparql_2310.csv,producer,-,非複製物であるリソースを制作した主体,,9,ゲーム関連資料,,,,,,,
353,rcgs_relatedinstance_sparql_2310.csv,publisher,-,リソースを出版した主体,https://collection.rcgs.jp/resource/AGENT0003204,9,ゲーム関連資料,発行者,該当する責任主体のIDに変換（メモより同定可能）,,,,,
354,rcgs_relatedinstance_sparql_2310.csv,distributor,-,リソースを頒布した主体,,9,ゲーム関連資料,発行者,該当する責任主体のIDに変換（メモより同定可能）,,,,,
