メモ	例示されたパッケージ	所蔵DBリンク	管理者	保管場所	サブタイプ	タイプ	ジャンル	資料ID
ITEM0006701	PACKAGE0004250	https://collection.rcgs.jp/page/PACKAGE0004250	AGENT0000848	C119	gm	GameItem	ゲーム個別資料	RCGSa0010861
ITEM0009479	PACKAGE0009720	https://collection.rcgs.jp/page/PACKAGE0009720	AGENT0000848	A122	gm	GameItem	ゲーム個別資料	RCGSa0014517
ITEM0006669	PACKAGE0007789	https://collection.rcgs.jp/page/PACKAGE0007789	AGENT0000848	A99	gm	GameItem	ゲーム個別資料	RCGSa0010826
ITEM0007038	PACKAGE0008333	https://collection.rcgs.jp/page/PACKAGE0008333	AGENT0000848	C115	gm	GameItem	ゲーム個別資料	RCGSa0011206
ITEM0008247	PACKAGE0008750	https://collection.rcgs.jp/page/PACKAGE0008750	AGENT0000848	D72	gm	GameItem	ゲーム個別資料	RCGSa0012946
ITEM0001215	PACKAGE0001109	https://collection.rcgs.jp/page/PACKAGE0001109	AGENT0000848	D100	gm	GameItem	ゲーム個別資料	RCGSa0001214
ITEM0006018	PACKAGE0004456	https://collection.rcgs.jp/page/PACKAGE0004456	AGENT0000848	C104	gm	GameItem	ゲーム個別資料	RCGSa0010020
ITEM0000743	PACKAGE0006313	https://collection.rcgs.jp/page/PACKAGE0006313	AGENT0000848	A41	gm	GameItem	ゲーム個別資料	RCGSa0000744
ITEM0000348	PACKAGE0000763	https://collection.rcgs.jp/page/PACKAGE0000763	AGENT0000848	C87	gm	GameItem	ゲーム個別資料	RCGSa0000349
ITEM0007647	PACKAGE0005293	https://collection.rcgs.jp/page/PACKAGE0005293	AGENT0000848	D52	gm	GameItem	ゲーム個別資料	RCGSa0012271
ITEM0002887	PACKAGE0003247	https://collection.rcgs.jp/page/PACKAGE0003247	AGENT0000848	C28	gm	GameItem	ゲーム個別資料	RCGSa0002892
ITEM0020902	PACKAGE0023613	https://collection.rcgs.jp/page/PACKAGE0023613	AGENT0000848	D87	gm	GameItem	ゲーム個別資料	RCGSa0022282
ITEM0020904	PACKAGE0023615	https://collection.rcgs.jp/page/PACKAGE0023615	AGENT0000848	D87	gm	GameItem	ゲーム個別資料	RCGSa0022304
ITEM0020906	PACKAGE0023617	https://collection.rcgs.jp/page/PACKAGE0023617	AGENT0000848	D87	gm	GameItem	ゲーム個別資料	RCGSa0022275
ITEM0021116	PACKAGE0023804	https://collection.rcgs.jp/page/PACKAGE0023804	AGENT0000848	A200	gm	GameItem	ゲーム個別資料	RCGSa0022604
ITEM0010917	PACKAGE0010170	https://collection.rcgs.jp/page/PACKAGE0010170	AGENT0000848	A136	gm	GameItem	ゲーム個別資料	RCGSa0020562
ITEM0021114	PACKAGE0023802	https://collection.rcgs.jp/page/PACKAGE0023802	AGENT0000848	A200	gm	GameItem	ゲーム個別資料	RCGSa0022630
ITEM0007766	PACKAGE0008120	https://collection.rcgs.jp/page/PACKAGE0008120	AGENT0000848	D63	gm	GameItem	ゲーム個別資料	RCGSa0012395
ITEM0007767	PACKAGE0008121	https://collection.rcgs.jp/page/PACKAGE0008121	AGENT0000848	D63	gm	GameItem	ゲーム個別資料	RCGSa0012396
ITEM0009336	PACKAGE0009580	https://collection.rcgs.jp/page/PACKAGE0009580	AGENT0000848	C78	gm	GameItem	ゲーム個別資料	RCGSa0013810
ITEM0009337	PACKAGE0009581	https://collection.rcgs.jp/page/PACKAGE0009581	AGENT0000848	C78	gm	GameItem	ゲーム個別資料	RCGSa0013803
ITEM0011237	PACKAGE0009551	https://collection.rcgs.jp/page/PACKAGE0009551	AGENT0000848	D77	gm	GameItem	ゲーム個別資料	RCGSa0014081
ITEM0003902	PACKAGE0005467	https://collection.rcgs.jp/page/PACKAGE0005467	AGENT0000848	D7	gm	GameItem	ゲーム個別資料	RCGSa0003908
ITEM0008459	PACKAGE0005220	https://collection.rcgs.jp/page/PACKAGE0005220	AGENT0000848	D50	gm	GameItem	ゲーム個別資料	RCGSa0014908
ITEM0003572	PACKAGE0002324	https://collection.rcgs.jp/page/PACKAGE0002324	AGENT0000848	C56	gm	GameItem	ゲーム個別資料	RCGSa0003578
ITEM0008023	PACKAGE0008405	https://collection.rcgs.jp/page/PACKAGE0008405	AGENT0000848	A104	gm	GameItem	ゲーム個別資料	RCGSa0012663
ITEM0009287	PACKAGE0009532	https://collection.rcgs.jp/page/PACKAGE0009532	AGENT0000848	D76	gm	GameItem	ゲーム個別資料	RCGSa0014074
ITEM0009288	PACKAGE0009533	https://collection.rcgs.jp/page/PACKAGE0009533	AGENT0000848	D76	gm	GameItem	ゲーム個別資料	RCGSa0014076
ITEM0008686	PACKAGE0008920	https://collection.rcgs.jp/page/PACKAGE0008920	AGENT0000848	A114	gm	GameItem	ゲーム個別資料	RCGSa0013267
ITEM0001361	PACKAGE0001200	https://collection.rcgs.jp/page/PACKAGE0001200	AGENT0000848	A39	gm	GameItem	ゲーム個別資料	RCGSa0001360
